Name,URL
Юрій Мушкетик,https://uk.wikipedia.org/wiki/%D0%9C%D1%83%D1%88%D0%BA%D0%B5%D1%82%D0%B8%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Мар Пінчевський,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%BD%D1%87%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B0%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Дара Корній,https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D1%80%D0%B0_%D0%9A%D0%BE%D1%80%D0%BD%D1%96%D0%B9
Божена Антоняк,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D1%8F%D0%BA_%D0%91%D0%BE%D0%B6%D0%B5%D0%BD%D0%B0_%D0%AE%D1%80%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Віктор Бойко,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%B9%D0%BA%D0%BE_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80
Богдан Лепкий,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BF%D0%BA%D0%B8%D0%B9_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD_%D0%A1%D0%B8%D0%BB%D1%8C%D0%B2%D0%B5%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Володимир Малик,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B8%D0%BA_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Ірен Роздобудько,https://uk.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B7%D0%B4%D0%BE%D0%B1%D1%83%D0%B4%D1%8C%D0%BA%D0%BE_%D0%86%D1%80%D0%B5%D0%BD_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Мар'яна Прокопович,https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B0%D1%80%27%D1%8F%D0%BD%D0%B0_%D0%86%D0%B2%D0%B0%D0%BD%D1%96%D0%B2%D0%BD%D0%B0
Микола Руденко,https://uk.wikipedia.org/wiki/%D0%A0%D1%83%D0%B4%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Микола Дашкієв,https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D1%88%D0%BA%D1%96%D1%94%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
