Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Володимир Лис,Лис Володимир Савович,1950.0,,Згорани,Ковельський,Волинська,https://uk.wikipedia.org/wiki/%D0%9B%D0%B8%D1%81_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Світлана Талан,Талан Світлана Олегівна,1960.0,,Слоут,Шосткинський,Сумська,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD_%D0%A1%D0%B2%D1%96%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%9E%D0%BB%D0%B5%D0%B3%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Андрій Чайковський,Чайковський Андрій Якович,1857.0,1935.0,Самбір,Самбірський,Львівська,https://uk.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олесь Гончар,Гончар Олесь Терентійович,1918.0,1995.0,Грузько-Ломівка,Гірницький,Донецька,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80_%D0%9E%D0%BB%D0%B5%D1%81%D1%8C_%D0%A2%D0%B5%D1%80%D0%B5%D0%BD%D1%82%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олег Авраменко,Авраменко Олег Євгенович,1967.0,2018.0,Херсон,Херсонський,Херсонська,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Віктор Морозов,Морозов Віктор Євгенович,1950.0,,Тернопільська область,,Тернопільська,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%BE%D0%B7%D0%BE%D0%B2_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Максим Кідрук,Кідрук Максим Іванович,1984.0,,Володимирець,Вараський,Рівненська,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D0%B4%D1%80%D1%83%D0%BA_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Іван Дзюб,Дзюб Іван Петрович,1934.0,,Сопошин,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%94%D0%B7%D1%8E%D0%B1_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Григорій Філіпчук,Філіпчук Григорій Миколайович,1936.0,2006.0,Тучапи,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%A4%D1%96%D0%BB%D1%96%D0%BF%D1%87%D1%83%D0%BA_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Леонід Кононович,Кононович Леонід Григорович,1958.0,,Красилівка,Білоцерківський,Київська,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
