Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Роман Сушко,Сушко Роман Кирилович,1894.0,1944.0,,Львівський,,https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D1%88%D0%BA%D0%BE_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Ременів,Львівська
Мирослав Левицький,Левицький Мирослав Романович,1963.0,,,Чернівецький,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Чернівці,Чернівецька
Роман Лубківський,Лубківський Роман Мар'янович,1941.0,2015.0,,Коломийський,,https://uk.wikipedia.org/wiki/%D0%9B%D1%83%D0%B1%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9C%D0%B0%D1%80%27%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Острівець,Івано-Франківська
Роман Кухарук,Кухарук Роман Васильович,1968.0,,,Чернівецький,,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D1%85%D0%B0%D1%80%D1%83%D0%BA_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Чернівці,Чернівецька
Анатолій Дімаров,Анатолій Дімаров,1922.0,2014.0,,Миргородський,,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%94%D1%96%D0%BC%D0%B0%D1%80%D0%BE%D0%B2,UK,M,Миргород,Полтавська
Павло Федченко,Федченко Павло Максимович,1920.0,2002.0,,Смілянський,,https://uk.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B4%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Смілянський район,Черкаська
Олексій Зарицький,Олексій (Зарицький),1912.0,1963.0,,Дубенський,,https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_(%D0%97%D0%B0%D1%80%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9),UK,M,Більче,Рівненська
Олександр Наумов,Наумов Олександр Вікторович,1950.0,2017.0,,,,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BC%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Михайло Орест,Михайло Орест,1901.0,1963.0,,Полтавський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9E%D1%80%D0%B5%D1%81%D1%82,UK,M,Зіньків,Полтавська
Михайло Майський,Майський Михайло Семенович,1889.0,1960.0,,Грайворонський міський округ,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%A1%D0%B5%D0%BC%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Грайворон,Росія
Лешек Колаковський,Лешек Колаковський,1927.0,,,Мазовецьке воєводство,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%88%D0%B5%D0%BA_%D0%9A%D0%BE%D0%BB%D0%B0%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9,PL,M,Радом,Польща
Лесь Подерв'янський,Лесь Подерв'янський,1952.0,,,,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D1%8C_%D0%9F%D0%BE%D0%B4%D0%B5%D1%80%D0%B2%27%D1%8F%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9,UK,M,Київ,Україна
Леонід Талалай,Талалай Леонід Миколайович,1941.0,2012.0,,Ізюмський,,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BB%D0%B0%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Савинці,Харківська
Леонід Куліш-Зіньків,Куліш-Зіньків Леонід Зіновійович,1942.0,2007.0,,Сарненський,,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%96%D1%88-%D0%97%D1%96%D0%BD%D1%8C%D0%BA%D1%96%D0%B2_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%97%D1%96%D0%BD%D0%BE%D0%B2%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Кричильськ,Рівненська
Лев Скрипник,Скрипник Лев Володимирович,1903.0,1939.0,,Донецький,,https://uk.wikipedia.org/wiki/%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D0%BD%D0%B8%D0%BA_%D0%9B%D0%B5%D0%B2_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Ясинувата,Донецька
Лариса Масенко,Масенко Лариса Терентіївна,1942.0,,,Баштанський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%A2%D0%B5%D1%80%D0%B5%D0%BD%D1%82%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,Безіменне,Миколаївська
Лариса Івшина,Івшина Лариса Олексіївна,1960.0,,,Володимирський,,https://uk.wikipedia.org/wiki/%D0%86%D0%B2%D1%88%D0%B8%D0%BD%D0%B0_%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D1%97%D0%B2%D0%BD%D0%B0,BE,M,Локачі,Волинська
Григорій Сивокінь,Сивокінь Григорій Матвійович,1931.0,2014.0,,,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B2%D0%BE%D0%BA%D1%96%D0%BD%D1%8C_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%9C%D0%B0%D1%82%D0%B2%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,M,,
Вірко Балей,Балей Вірко Петрович,1938.0,,,,,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B5%D0%B9_%D0%92%D1%96%D1%80%D0%BA%D0%BE_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Львівська область,Львівська
Вільгельм Габсбург,Вільгельм Габсбург,1895.0,1948.0,,Istarska županija,,https://uk.wikipedia.org/wiki/%D0%92%D1%96%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC_%D0%93%D0%B0%D0%B1%D1%81%D0%B1%D1%83%D1%80%D0%B3,HR,M,Пула,Хорватія
Василь Козаченко,Козаченко Василь Павлович,1913.0,1995.0,,Голованівський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D0%B0%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Новоархангельськ,Кіровоградська
Валентин Чемерис,Чемерис Валентин Лукич,1936.0,2016.0,,Кременчуцький,,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BC%D0%B5%D1%80%D0%B8%D1%81_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%9B%D1%83%D0%BA%D0%B8%D1%87,UK,M,Заїчинці,Полтавська
Богдан Комаров,Комаров Богдан Михайлович,1882.0,1975.0,,,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Андрій Сологуб,Сологуб Андрій Павлович,1922.0,,,Конотопський,,https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D0%BE%D0%B3%D1%83%D0%B1_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Конотоп,Сумська
Ісраель Шамір,Ісраель Шамір,1947.0,,,Новосибірська область,,https://uk.wikipedia.org/wiki/%D0%86%D1%81%D1%80%D0%B0%D0%B5%D0%BB%D1%8C_%D0%A8%D0%B0%D0%BC%D1%96%D1%80,RU,M,Міський округ Новосибірськ,Росія
Ілля Еренбург,Еренбург Ілля Григорович,1891.0,1967.0,,,,https://uk.wikipedia.org/wiki/%D0%95%D1%80%D0%B5%D0%BD%D0%B1%D1%83%D1%80%D0%B3_%D0%86%D0%BB%D0%BB%D1%8F_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Ігор Белза,Белза Ігор Федорович,1904.0,1994.0,,Griswold,,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B7%D0%B0_%D0%86%D0%B3%D0%BE%D1%80_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,EN,M,Kelci Circle,Сполучені Штати Америки
Іван Глинський,Глинський Іван Львович,1460.0,1508.0,,Самбірський,,https://uk.wikipedia.org/wiki/%D0%93%D0%BB%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Велике,Львівська
Яструн,Мечислав Яструн,1903.0,1983.0,,Золочівський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B5%D1%87%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%AF%D1%81%D1%82%D1%80%D1%83%D0%BD,UK,M,Королівка,Львівська
Степан Олійник,Олійник Степан Іванович,1908.0,1982.0,,Подільський,,https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D1%96%D0%B9%D0%BD%D0%B8%D0%BA_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Пасицели,Одеська
Роман Сербин,Роман Сербин,1939.0,,,Івано-Франківський,,https://uk.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%A1%D0%B5%D1%80%D0%B1%D0%B8%D0%BD,UK,M,Вікторів,Івано-Франківська
Олег Однороженко,Однороженко Олег Анатолійович,1974.0,,,Харківський,,https://uk.wikipedia.org/wiki/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%BE%D0%B6%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Харків,Харківська
Оксана Драй-Хмара,Ашер Оксана Михайлівна,1923.0,2018.0,,Кам’янець-Подільський,,https://uk.wikipedia.org/wiki/%D0%90%D1%88%D0%B5%D1%80_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D1%96%D0%B2%D0%BD%D0%B0,UK,M,Кам’янець-Подільський,Хмельницька
О. Клименко,Клименко Олександр Іванович (письменник),1970.0,,,Житомирський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_(%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA),UK,M,Коростишів,Житомирська
Нестор Гаморак,Гаморак Нестор Теодорович,1892.0,1937.0,,Луцький,,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%BE%D1%80%D0%B0%D0%BA_%D0%9D%D0%B5%D1%81%D1%82%D0%BE%D1%80_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Стрільче,Волинська
Наталія Лігачова,Лигачова-Чернолуцька Наталія Львівна,1962.0,,,Владивостокский городской округ,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B8%D0%B3%D0%B0%D1%87%D0%BE%D0%B2%D0%B0-%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%BB%D1%83%D1%86%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%9B%D1%8C%D0%B2%D1%96%D0%B2%D0%BD%D0%B0,RU,M,Владивосток,Росія
Михайло Косач,Косач Михайло Петрович,1869.0,1903.0,,Звягельський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D0%B0%D1%87_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Звягель,Житомирська
Михайло Гордієнко,Гордієнко Михайло Іванович,1924.0,2009.0,,,,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B4%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Мирон Левицький,Мирон Левицький,1913.0,1993.0,,Львівський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80%D0%BE%D0%BD_%D0%9B%D0%B5%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9,UK,M,Львів,Львівська
Максим Тарнавський,Максим Тарнавський,1955.0,,,Пенсильванія,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%A2%D0%B0%D1%80%D0%BD%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9,EN,M,Філадельфія,Сполучені Штати Америки
Леонід Большаков,Большаков Леонід Наумович,1924.0,2004.0,,Корюківський,,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D0%BA%D0%BE%D0%B2_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%9D%D0%B0%D1%83%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Сновськ,Чернігівська
Дмитро Чекалкін,Чекалкин Дмитро Валерійович,1964.0,,,,,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BA%D0%B0%D0%BB%D0%BA%D0%B8%D0%BD_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Віктор Бичков,Бичков Віктор Миколайович,1954.0,,,Північно-Західний федеральний округ,,https://uk.wikipedia.org/wiki/%D0%91%D0%B8%D1%87%D0%BA%D0%BE%D0%B2_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Санкт-Петербург,Росія
Володимир Жила,Жила Володимир Іванович,1919.0,2004.0,,Тернопільський,,https://uk.wikipedia.org/wiki/%D0%96%D0%B8%D0%BB%D0%B0_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Збараж,Тернопільська
Валерій Гужва,Гужва Валерій Федорович,1936.0,,,,,https://uk.wikipedia.org/wiki/%D0%93%D1%83%D0%B6%D0%B2%D0%B0_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,M,Постишеве,СРСР
Б. Є. Патон,Патон Борис Євгенович,1918.0,2020.0,,,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%82%D0%BE%D0%BD_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Ігор Гирич,Гирич Ігор Борисович,1962.0,,,,,https://uk.wikipedia.org/wiki/%D0%93%D0%B8%D1%80%D0%B8%D1%87_%D0%86%D0%B3%D0%BE%D1%80_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Іван Шишкін,Шишкін Іван Іванович,1832.0,,,городское поселение Елабуга,,https://uk.wikipedia.org/wiki/%D0%A8%D0%B8%D1%88%D0%BA%D1%96%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Єлабуга,Росія
Юрій Мицик,Мицик Юрій Андрійович,1949.0,,,Дніпровський,,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%86%D0%B8%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,BE,M,Дніпро,Дніпропетровська
Юрій Бутусов,Бутусов Юрій Євгенович,1976.0,,,,,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%82%D1%83%D1%81%D0%BE%D0%B2_%D0%AE%D1%80%D1%96%D0%B9_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Сергій Борщевський,Борщевський Сергій Юхимович,1946.0,,,,,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D1%89%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%AE%D1%85%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Київ,Україна
Світлана Йовенко,Йовенко Світлана Андріївна,1945.0,2021.0,,,,https://uk.wikipedia.org/wiki/%D0%99%D0%BE%D0%B2%D0%B5%D0%BD%D0%BA%D0%BE_%D0%A1%D0%B2%D1%96%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,Київ,Україна
Андрій Голуб,Голуб Андрій,1887.0,,,Миргородський,,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9,UK,M,Лохвиця,Полтавська
Павло Яковенко,Яковенко Павло Олександрович,1964.0,,,,,https://uk.wikipedia.org/wiki/%D0%AF%D0%BA%D0%BE%D0%B2%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,F,,
Павло Думка,Павло Думка,1854.0,1918.0,,Козівський,,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%94%D1%83%D0%BC%D0%BA%D0%B0,UK,M,Козівський район,Тернопільська
Олександр Солженіцин,Солженіцин Олександр Ісайович,1918.0,2008.0,,городской округ Кисловодск,,https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D0%B6%D0%B5%D0%BD%D1%96%D1%86%D0%B8%D0%BD_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D1%81%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Кисловодськ,Росія
Олександр Потебня,Потебня Олександр Опанасович,1835.0,1891.0,,,,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%82%D0%B5%D0%B1%D0%BD%D1%8F_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9E%D0%BF%D0%B0%D0%BD%D0%B0%D1%81%D0%BE%D0%B2%D0%B8%D1%87,,M,Манів,Роменський повіт
Мирослав Попович,Попович Мирослав Володимирович,1930.0,,,Житомирський,,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Житомир,Житомирська
Микола Сингаївський,Сингаївський Микола Федорович,1936.0,2013.0,,Коростенський,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D0%B3%D0%B0%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Коростенський район,Житомирська
Микола Кащенко,Кащенко Микола Феофанович,1855.0,1935.0,,Мелітопольський,,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A4%D0%B5%D0%BE%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Веселе,Запорізька
Костянтин Симонов,Симонов Костянтин Михайлович,1915.0,1979.0,,Північно-Західний федеральний округ,,https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Санкт-Петербург,Росія
Дмитро Лисиченко,Лисиченко Дмитро Михайлович,1887.0,1930.0,,Нижньодніпровський,,https://uk.wikipedia.org/wiki/%D0%9B%D0%B8%D1%81%D0%B8%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Катеринослав хлеб,Дніпропетровська
Галина Гнатюк,Гнатюк Галина Макарівна,1927.0,2016.0,,Звенигородський,,https://uk.wikipedia.org/wiki/%D0%93%D0%BD%D0%B0%D1%82%D1%8E%D0%BA_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,Гусакове,Черкаська
Віталій Скляренко,Скляренко Віталій Григорович,1937.0,2020.0,,Новоукраїнський,,https://uk.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BB%D1%8F%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Новоукраїнський район,Кіровоградська
Вікторія Сюмар,Сюмар Вікторія Петрівна,1977.0,,,Нікопольський,,https://uk.wikipedia.org/wiki/%D0%A1%D1%8E%D0%BC%D0%B0%D1%80_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D1%96%D1%8F_%D0%9F%D0%B5%D1%82%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,Нікополь,Дніпропетровська
Віктор Соколов,Соколов Віктор Вікторович,1919.0,2002.0,,Олександрійський,,https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Світловодськ,Кіровоградська
Віктор Брехуненко,Брехуненко Віктор Анатолійович,1965.0,,,Кропивницький,,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B5%D1%85%D1%83%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Долинська,Кіровоградська
Володимир Штангей,Штангей Володимир Фокович,1895.0,1937.0,,Звенигородський,,https://uk.wikipedia.org/wiki/%D0%A8%D1%82%D0%B0%D0%BD%D0%B3%D0%B5%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A4%D0%BE%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,Мошурів,Черкаська
Володимир Хронович,Хронович Володимир Михайлович,1890.0,1973.0,,Золочівський,,https://uk.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,RU,M,Броди,Львівська
